pid,visit,model,r2,mse
33,0,GradientBoostingRegressor_n_estimators100_learning_rate0.01_max_depth7,-0.21702154176397337,0.08269119795122394
21,0,GradientBoostingRegressor_n_estimators100_learning_rate0.1_max_depth3,-0.08463373096912385,0.027462751096494466
27,0,GradientBoostingRegressor_n_estimators100_learning_rate0.1_max_depth3,-2.036637573893982,0.04636442934859551
28,0,GradientBoostingRegressor_n_estimators100_learning_rate0.1_max_depth3,-2.769271207567572,0.09928235372952514
32,0,GradientBoostingRegressor_n_estimators100_learning_rate0.1_max_depth3,-3.574253234054069,0.05477260365438881
33,0,GradientBoostingRegressor_n_estimators100_learning_rate0.1_max_depth3,-0.8032197073593914,0.12252075468991304
21,0,GradientBoostingRegressor_n_estimators100_learning_rate0.1_max_depth5,-1.124436002909336,0.05379037688252711
27,0,GradientBoostingRegressor_n_estimators100_learning_rate0.1_max_depth5,-3.066003263967513,0.062081139574927176
28,0,GradientBoostingRegressor_n_estimators100_learning_rate0.1_max_depth5,-3.340845833154769,0.11433759147586649
32,0,GradientBoostingRegressor_n_estimators100_learning_rate0.1_max_depth5,-3.1980046016432526,0.0502673617790327
33,0,GradientBoostingRegressor_n_estimators100_learning_rate0.1_max_depth5,-1.4361092305070224,0.16552278139521034
21,0,GradientBoostingRegressor_n_estimators100_learning_rate0.1_max_depth7,-1.0186682969144134,0.051112355629038674
27,0,GradientBoostingRegressor_n_estimators100_learning_rate0.1_max_depth7,-4.0362650702783744,0.0768954313281093
28,0,GradientBoostingRegressor_n_estimators100_learning_rate0.1_max_depth7,-3.018980805668906,0.10585968798941595
32,0,GradientBoostingRegressor_n_estimators100_learning_rate0.1_max_depth7,-2.4426414169613677,0.04122256119351078
33,0,GradientBoostingRegressor_n_estimators100_learning_rate0.1_max_depth7,-1.6087419544883432,0.17725240676478896
21,0,GradientBoostingRegressor_n_estimators100_learning_rate0.2_max_depth3,-1.3209701644200962,0.058766590147354934
27,0,GradientBoostingRegressor_n_estimators100_learning_rate0.2_max_depth3,-4.1660035607887025,0.07887632332812035
28,0,GradientBoostingRegressor_n_estimators100_learning_rate0.2_max_depth3,-3.289565299831625,0.1129868656276958
32,0,GradientBoostingRegressor_n_estimators100_learning_rate0.2_max_depth3,-9.188343569226289,0.1219963293806082
33,0,GradientBoostingRegressor_n_estimators100_learning_rate0.2_max_depth3,-0.9410701489056046,0.13188707875106284
21,0,GradientBoostingRegressor_n_estimators100_learning_rate0.2_max_depth5,-1.3586987469235186,0.059721871770017775
